cluster_id,violation_count,centre_lat,centre_lon,dist_to_centre_km,peak_hour_frac,weekend_frac,hour_sin_mean,hour_cos_mean,morning_peak_frac,evening_peak_frac,unique_days,viol_SCOOTER_frac,viol_CAR_frac,viol_MOTOR_CYCLE_frac,viol_PASSENGER_AUTO_frac,viol_MAXI-CAB_frac,spread_km,violation_density,recurrence_score,norm_density,norm_proximity,norm_recurrence,congestion_risk_score,crs_predicted,enforcement_rank,enforcement_tier
136,54,12.940924387037036,77.54849264074073,5.592634965347891,0.7037037037037037,0.1111111111111111,0.620452198319081,-0.0080834945788692,0.7037037037037037,0.0,12,0.3888888888888889,0.14814814814814814,0.09259259259259259,0.2037037037037037,0.0,0.2294862166931559,326.3853632984456,0.07894736842105263,0.007754433454065347,0.9098774771606558,0.07284768204587519,37.901135238267855,37.31201032513428,16,🟡 MEDIUM
110,14,12.885974207142857,77.57078853571429,10.255436942902248,0.5714285714285714,0.5714285714285714,0.973393299129137,-0.16512380826554598,0.5714285714285714,0.0,7,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.0,0.0688200236971266,940.9109599578626,0.046052631578947366,0.025576603980928585,0.7569807130033969,0.0397350992977501,36.432146392377945,36.975385740493756,17,🟡 MEDIUM
21,374,12.90830626637698,77.54736094294216,8.646069074066546,0.4090909090909091,0.3502673796791444,0.6435999951962665,0.09962469636465092,0.37967914438502676,0.029411764705882353,94,0.16310160427807488,0.29411764705882354,0.0855614973262032,0.09358288770053476,0.01871657754010695,0.46827166722769764,542.9076563323313,0.618421052631579,0.0140339070029207,0.8097530890700093,0.6158940391151266,36.575135441717855,36.68567537852176,18,🟡 MEDIUM
70,162,13.047264864814814,77.62832221790123,9.137362363170961,0.6481481481481481,0.25925925925925924,0.5367151988780522,-0.2210632116960896,0.5864197530864198,0.06172839506172839,16,0.5679012345679012,0.05555555555555555,0.35802469135802467,0.0,0.0,0.3002485382659184,572.0096273277153,0.10526315789473684,0.014877908119500738,0.7936432146816398,0.09933774824437525,36.18326485655537,36.53958712132775,19,🟡 MEDIUM
32,334,13.022238621883348,77.63963237380867,7.823889419697694,0.37425149700598803,0.38922155688622756,0.5790519185296233,0.23345652636041392,0.3502994011976048,0.023952095808383235,74,0.4820359281437126,0.23652694610778444,0.2215568862275449,0.005988023952095809,0.020958083832335328,0.32606599804117165,999.9667689497309,0.4868421052631579,0.027289311643841865,0.8367129748455715,0.4834437081226262,35.77232547968413,35.760386999519454,20,🟡 MEDIUM
12,351,12.926769957673342,77.55071879303947,6.682112391335585,0.06552706552706553,0.1623931623931624,0.4057207079650099,0.5140523425425038,0.03133903133903134,0.03418803418803419,46,0.5925925925925926,0.17663817663817663,0.1737891737891738,0.017094017094017096,0.008547008547008548,0.10196092681770526,10747.06052491849,0.3026315789473684,0.30996975327966075,0.874152697541499,0.29801324473312574,34.57423602505762,35.55951297378614,21,🟡 MEDIUM
131,58,12.876004212068965,77.61662020517241,11.800009711137038,0.3620689655172414,0.5344827586206896,0.581145857553408,0.1450141873378125,0.3620689655172414,0.0,30,0.3103448275862069,0.3275862068965517,0.27586206896551724,0.034482758620689655,0.0,0.062253112900329095,4763.826932431069,0.19736842105263158,0.13644694159039228,0.7063330167457949,0.19205297993912548,35.219384814108814,35.031904605380305,22,🟡 MEDIUM
22,64,13.045803084487355,77.52241673777046,10.135797458388822,0.546875,0.203125,-0.10271491233473677,0.29214241042893097,0.171875,0.375,37,0.25,0.3125,0.203125,0.15625,0.0,0.11440189941138501,1556.5519902787519,0.24342105263157895,0.04343112376880589,0.7609037811790563,0.23841059578650062,34.82539591335434,34.79320784871311,23,🟡 MEDIUM
43,218,13.057278428440368,77.54693808440366,9.7644615798182,0.1559633027522936,0.3348623853211009,0.4430930468614443,0.4076955392143145,0.11467889908256881,0.04128440366972477,71,0.1926605504587156,0.48623853211009177,0.21100917431192662,0.027522935779816515,0.0045871559633027525,0.10042294410704168,6880.828317597914,0.46710526315789475,0.1978431794316611,0.7730801623597815,0.4635761584737511,34.26958253405964,34.48278917396124,24,🟡 MEDIUM
143,12,13.055959208333334,77.63244381666667,10.19544956749351,0.5,0.5,0.3134567320019565,0.18823492042521006,0.25,0.25,3,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,0.07437481927547825,690.5251906914358,0.019736842105263157,0.018315038471495043,0.7589477439076544,0.013245033099250032,33.45243155564791,33.55436474900127,25,🟡 MEDIUM
127,32,12.892228190625,77.57208905,9.547210794814271,0.46875,0.28125,0.6563969147934298,0.16847584861529452,0.4375,0.03125,15,0.21875,0.34375,0.0625,0.09375,0.0,0.08540291792660412,1396.54420493815,0.09868421052631579,0.038790656306640275,0.7802039780820926,0.09271523169475024,32.42015484932177,32.54617306111076,26,🟡 MEDIUM
